About the data: Voter demographics per state. Source: http://projects.fivethirtyeight.com/2016-swing-the-election/,,,,,,,,,,,
Voter turnout was set to 100% to get the correct demographics,,,,,,,,,,,
"1. Used the import_table.py script to extract the table, saved to demographics.csv",,,,,,,,,,,
2. Converted pop.json to CSV using http://www.convertcsv.com/json-to-csv.htm,,,,,,,,,,,
3. Merged the CSVs from step1 and 2 to get this table,,,,,,,,,,,
4. renamed column headers for CSV in step 1 to merge with pop.json,,,,,,,,,,,
5. converted merged CSV back to json using http://www.convertcsv.com/csv-to-json.htm,,,,,,,,,,,
6. saved the new json as pop_new.json,,,,,,,,,,,
,,,,,,,,,,,
type,id,properties/name,properties/population,properties/electoral,properties/college_white,properties/noncollege_white,properties/black,properties/hispanic,properties/asian_other,properties/dem_votes,properties/repub_votes
Feature,1,Alabama,4447100,9,25.8,41.1,27.4,2.8,2.9,795696,1255925
Feature,2,Alaska,626932,3,25,45.4,2.6,10.1,16.9,122640,164676
Feature,4,Arizona,5130632,11,28.1,39.3,3.5,23.5,5.5,1025232,1233654
Feature,5,Arkansas,2673400,6,28.1,51.2,11.6,4.7,4.5,394409,647744
Feature,6,California,33871648,55,22.8,24.7,6.9,27.7,18,7854285,4839958
Feature,8,Colorado,4301261,9,32.4,38.1,2.6,18.3,8.7,1322998,1185050
Feature,9,Connecticut,3405565,7,43.5,30.7,11.8,9.4,4.5,905083,634892
Feature,10,Delaware,783600,3,34,38.7,17.7,4.9,4.7,242584,165484
Feature,11,District of Columbia,572059,3,32.6,2.3,53.4,8.6,3.1,267070,21381
Feature,12,Florida,15982378,29,26.3,33.1,12.2,23.1,5.3,4237756,4163447
Feature,13,Georgia,8186453,16,26.7,34.9,30.6,4.4,3.4,1773827,2078688
Feature,15,Hawaii,1211537,4,15.4,19.2,1.2,11.2,53,306658,121015
Feature,16,Idaho,1293953,4,25.6,60.1,1.3,8.9,4,212787,420911
Feature,17,Illinois,12419293,20,30.2,34.6,13.1,16.4,5.7,3019512,2135216
Feature,18,Indiana,6080485,11,35.1,45.6,7.9,8.4,3,1152887,1420543
Feature,19,Iowa,2926324,6,35.2,56.4,2.2,3,3.2,822544,730617
Feature,20,Kansas,2688418,6,36.1,47.5,4.9,7.2,4.3,440726,692634
Feature,21,Kentucky,4041769,8,28.7,54,10.7,3.4,3.2,679370,1087190
Feature,22,Louisiana,4468976,8,24.9,38.4,28.4,6.8,1.5,809141,1152262
Feature,23,Maine,1274923,4,41.9,52.3,1.4,1.6,2.8,401306,292276
Feature,24,Maryland,5296486,10,30.3,22.9,27.7,10.6,8.5,1677844,971869
Feature,25,Massachusetts,6349097,11,49.3,33.1,6.4,6.4,4.9,1921290,1188314
Feature,26,Michigan,9938444,16,33.5,41.2,15.1,4.3,6,2564569,2115256
Feature,27,Minnesota,4919479,10,36.5,45.5,6.6,4.2,7.2,1546167,1320225
Feature,28,Mississippi,2844658,6,20.7,38.7,35.1,4,1.4,562949,710746
Feature,29,Missouri,5595211,10,27.6,48.1,15.8,4.3,4.2,1223796,1482440
Feature,30,Montana,902195,3,31.6,52.8,2,6,7.6,201839,267928
Feature,31,Nebraska,1711263,5,35.4,53.8,4.4,3.3,3.1,302081,475064
Feature,32,Nevada,1998257,6,21.6,33.8,8.5,24.3,11.9,531373,463567
Feature,33,New Hampshire,1235786,4,41.1,49,2.2,4.5,3.2,369561,329918
Feature,34,New Jersey,8414350,14,27.4,33.9,17.4,14.3,6.9,2122786,1478088
Feature,35,New Mexico,1819046,5,17.7,23.6,1.7,44.1,12.9,415335,335788
Feature,36,New York,18976457,29,31.6,30.5,15.4,18.1,4.3,4018385,2145628
Feature,37,North Carolina,8049313,15,29,38.5,22.5,5.7,4.2,2178391,2270395
Feature,38,North Dakota,642200,3,35.9,51.8,2.1,4.2,6,124966,188320
Feature,39,Ohio,11353140,18,30.2,46.3,14.5,4.5,4.6,2827621,2661407
Feature,40,Oklahoma,3450654,7,27.1,50.4,6.9,4.7,10.9,443547,891325
Feature,41,Oregon,3421399,7,36.7,46.9,1,5.6,9.8,970488,754175
Feature,42,Pennsylvania,12281054,20,36.5,38,13.1,9.3,3.1,2990274,2680434
Feature,44,Rhode Island,1048319,4,33.1,43.1,7,11.3,5.6,279677,157204
Feature,45,South Carolina,4012012,9,31.2,38.7,23.7,4.6,1.8,865941,1071645
Feature,46,South Dakota,754844,3,34.4,49,1.4,5.7,9.5,145039,210610
Feature,47,Tennessee,5689283,11,31.3,49.2,11.4,3.1,5,960709,1462330
Feature,48,Texas,20851820,38,26.7,27.8,12.3,27.1,6.1,3308124,4569843
Feature,49,Utah,2233169,6,33.6,52.1,1.2,7.2,5.9,251813,740600
Feature,50,Vermont,608827,3,41.9,48.6,0.9,3.2,5.4,199239,92698
Feature,51,Virginia,7078515,13,35.1,30.6,19.4,7.3,7.5,1971820,1822522
Feature,53,Washington,5894121,12,29.4,39,2.7,13.7,15.2,1755396,1290670
Feature,54,West Virginia,1808344,5,28.4,62.3,2.2,4.5,2.5,238230,417584
Feature,55,Wisconsin,5363675,10,32.5,50.7,6.8,5.7,4.3,1620985,1407966
Feature,56,Wyoming,493782,3,33.3,53.4,1.4,7.7,4.2,69286,170962
