Alabama,811764,1264879
Alaska,0,0
Arizona,948066,1131790
Arkansas,418049,632672
California,6679147,4075616
Colorado,1200762,1007460
Connecticut,973302,614584
Delaware,255394,152356
District of Columbia,0,0
Florida,4143957,3939380
Georgia,1843452,2048244
Hawaii,324918,120309
Idaho,235219,400989
Illinois,3293340,1975801
Indiana,1367264,1341101
Iowa,818240,677508
Kansas,499979,685541
Kentucky,746510,1043264
Louisiana,780981,1147603
Maine,421481,296192
Maryland,1579890,938671
Massachusetts,1891083,1104284
Michigan,2867680,2044405
Minnesota,1573323,1275400
Mississippi,520864,687266
Missouri,1439321,1444289
Montana,229725,241816
Nebraska,324352,446039
Nevada,531884,411988
New Hampshire,384591,316937
New Jersey,2085051,1545495
New Mexico,458754,340857
New York,4363386,2576360
North Carolina,2123390,2109698
North Dakota,141113,168523
Ohio,2708988,2502218
Oklahoma,502294,959745
Oregon,978605,699673
Pennsylvania,3192316,2586496
Rhode Island,275488,152502
South Carolina,850121,1018756
South Dakota,170886,203019
Tennessee,1081074,1470160
Texas,3521164,4467748
Utah,301771,555497
Vermont,203952,96458
Virginia,1947774,1718295
Washington,1547632,1097176
West Virginia,301438,394278
Wisconsin,1670474,1258181
Wyoming,80496,160639
